지역명(쿼리용),지역평균고도,강수계속시간,최다강수량(1H),일강수량,최대풍속,평균기온,전일침수발생여부,침수발생여부(지도학습용)
강북,70,24,10,34.5,6,19.8,1,1
강북,70,22,3,12,6.8,19.6,1,1
강북,70,2,0.5,0.5,4,24.1,1,1
강북,70,24,37.5,161,6.7,21.3,1,1
강북,70,24,23,59.5,4.3,23.8,1,1
강북,70,0,0,0,3.2,25.5,1,1
강북,70,0,0,0,2.2,25.3,1,1
강북,70,22,28.5,73,3.5,23.6,1,1
강북,70,19,13,31,4.4,23.5,1,1
강북,70,16,5,10,4,23.2,1,1
강북,70,24,6,13.5,2,24,1,1
강북,70,4,0.5,0.5,3.4,24.9,1,1
강북,70,24,20,44,2,21.8,1,1
강북,70,24,29.5,75.5,2.3,23.1,1,1
강북,70,24,9.5,31,4.2,24.8,1,1
강북,70,24,7.5,33,4.7,24.3,1,1
강북,70,24,4.5,15.5,5,24.1,1,1
강북,70,24,17.5,60,2.6,23.1,1,1
강북,70,8,67.5,175.5,6.8,25.2,1,1
강북,70,24,40,272,9.4,23.9,1,1
강북,70,23,25,111.5,6.3,25.2,1,1
강북,70,24,11,14.5,3.9,26.7,1,1
강서,80,0,0,0,8.4,19,0,1
강서,80,24,27.5,90,7,15.3,1,1
강서,80,15,4.5,20.5,8.9,24.4,1,1
강서,80,24,7.5,18,7.5,24.1,1,1
강서,80,2,1,1,2.8,27.1,1,1
강서,80,23,16,25,6,26.5,1,1
강서,80,24,27,109,8.4,25.3,1,1
강서,80,13,53.5,80.5,7.4,26.2,1,1
강서,80,24,69.5,119.5,5,24.6,1,1
강서,80,0,0,0,8.1,25.9,1,1
강서,80,24,51,241,6.1,24.8,1,1
강서,80,5,4.5,4.5,5.6,25.5,1,1
강서,80,15,20.5,47.5,6.8,23.6,1,1
강서,80,22,14.5,31.5,5.5,25.9,1,1
강서,80,11,9,12.5,5.8,24.5,1,1
강서,80,0,0,0,4,26.3,1,1
강서,80,0,0,0,3.4,-3.6,1,1
강서,80,24,42.5,66,10.9,24.3,1,1
강서,80,0,0,0,3.3,25.9,1,1
강서,80,0,0,0,3.6,25.3,1,1
강서,80,10,4.5,5,3.5,24.7,1,1
강서,80,0,0,0,5.3,25.3,0,1
강서,80,0,0,0,5.4,25.4,1,1
강서,80,20,9,10,5.1,26,1,1
강서,80,0,0,0,5.4,29.3,1,1
강서,80,0,0,0,5.7,28,1,1
강서,80,21,7.5,41.5,6.6,23.9,1,1
강서,80,23,1,3.5,4.1,24.3,1,1
강서,80,5,5,5.5,5.1,26.1,1,1
강서,80,22,22,70.5,6.2,24.6,1,1
강서,80,24,41,191.5,9.6,22.7,1,1
강서,80,24,44.5,247,8.7,20.3,1,1
강서,80,24,16,65.5,13.7,20.7,1,1
강서,80,24,0.5,0.5,8.4,23.4,1,1
강서,80,19,62,131.7,6.1,25.5,0,1
강서,80,16,4.5,15.2,9.4,26.2,1,1
강서,80,22,19,97.5,8.5,22.1,1,1
강서,80,24,42,121.5,7.6,21.3,1,1
강서,80,8,0.2,0.2,3.1,24.6,1,1
강서,80,6,8.5,12.7,4.7,24.9,1,1
강서,80,19.5,5,11.2,3.7,21,1,1
강서,80,0,0,0,4.1,20.5,1,1
강서,80,16.5,14.2,68.7,6.2,24.8,0,1
강서,80,24,54.2,183.7,4.9,22.6,1,1
강서,80,12,2.7,3.5,4.1,24.9,1,1
강서,80,0,0,0,3.1,24,1,1
강서,80,13.5,17.2,61.2,7.9,21.7,1,1
